radius_tanget,scale_fac,agent_number,noise_dis,velo_var_relative,sweep_parameter,sampling_interval,L,path,walker_step_size,unix_date,run_time,location,name,N,parameter_increment,Diff_coe,adsorption_rate,storage,noise_strength,grid_recover_rate,iterations,growth_rate,Diameter_colony,parameter_steps,velocity_dis,radius_collision,date,walker_speed_phy,decay_rate,grid_strength,total_time,doubling_time,Δt_walker_min
1,4,250000,Normal,1.5,radius_tanget,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radius_tanget_sweep_threading_16_32_250000_time_seed_3543,3,1.738431278669e9,76925.033964,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radius_tanget_sweep_threading_16_32,"(1000, 1000)",2.0,6.999999999999999e-11,0.001,65.2001592675224,1.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,12,2025-02-01T17:34:38.663,4.9999999999999996e-6,0.001,350,36000.0,,
15,4,250000,Normal,1.5,grid_recover_rate,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\grid_recover_rate_hard_walls_sweep_threading_16_32_250000_time_seed_1530,3,1.739373473343e9,71941.2068459,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,grid_recover_rate_hard_walls_sweep_threading_16_32,"(1000, 1000)",2.0,6.999999999999999e-11,0.001,65.13724865671247,1.2,10.0,1,1.1570000000000001e-5,0.003,16,Normal,12,2025-02-12T15:17:53.336,4.9999999999999996e-6,0.001,1000,36000.0,,
15,4,250000,Normal,1.5,adsorption_rate,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\adsorption_right_noise_very_hard_walls_sweep_threading_16_32_250000_time_seed_3435,3,1.739961446291e9,68009.3451302,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,adsorption_right_noise_very_hard_walls_sweep_threading_16_32,"(1000, 1000)",5.0e-5,6.999999999999999e-11,1.0e-5,65.13489598315209,1.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,14,2025-02-19T10:37:26.282,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,grid_recover_rate,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\grid_recover_small_adsoprtion_sweep_threading_16_32_250000_time_seed_3676,3,1.740049178344e9,65499.7924172,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,grid_recover_small_adsoprtion_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.15649374574423,1.2,10.0,1,1.1570000000000001e-5,0.003,16,Normal,14,2025-02-20T10:59:38.328,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radisu_collision_random_movement_sweep_threading_16_32_250000_time_seed_3854,3,1.740139823668e9,65966.9553897,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radisu_collision_random_movement_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.18821742199361,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-02-21T12:10:23.668,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radisu_collision_random_movement_modified_collision_sweep_threading_16_32_250000_time_seed_7315,3,1.740223072284e9,65754.7468008,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radisu_collision_random_movement_modified_collision_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.18549968861043,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-02-22T11:17:52.284,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radisu_collision_random_movement_diamond_collision_sweep_threading_16_32_250000_time_seed_8444,3,1.741173664241e9,65217.4703674,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radisu_collision_random_movement_diamond_collision_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.18585061095655,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-03-05T11:21:04.241,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radisu_collision_random_movement_smallerequal_sweep_threading_16_32_250000_time_seed_7995,3,1.741346002307e9,68004.9846845,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radisu_collision_random_movement_smallerequal_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.18825223110616,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-03-07T11:13:22.307,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radius_collision_random_movement_mixture_diamond&circle_sweep_threading_16_32_250000_time_seed_1626,3,1.741868146892e9,66518.3383898,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radius_collision_random_movement_mixture_diamond&circle_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.18765520118177,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-03-13T12:15:46.892,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radius_collision_random_movement_mixture_diamond&circle_0_1_sweep_threading_16_32_250000_time_seed_6756,3,1.741965070501e9,68311.6927045,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radius_collision_random_movement_mixture_diamond&circle_0_1_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.18737312220037,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-03-14T15:11:10.501,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radius_collision_random_movement_mixture_diamond&circle_0_15_sweep_threading_16_32_250000_time_seed_3265,3,1.74229585799e9,72590.8920805,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radius_collision_random_movement_mixture_diamond&circle_0_15_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.19049542210996,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-03-18T11:04:17.975,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radius_collision_random_movement_mixture_diamond&circle_0_2_sweep_threading_16_32_250000_time_seed_8453,3,1.742465798374e9,77344.5658202,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radius_collision_random_movement_mixture_diamond&circle_0_2_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.19132303260267,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-03-20T10:16:38.374,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radius_collision_random_movement_mixture_diamond&circle_1_2_sweep_threading_16_32_250000_time_seed_1762,3,1.742549123102e9,77358.4262709,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radius_collision_random_movement_mixture_diamond&circle_1_2_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.19094695709646,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-03-21T09:25:23.102,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radius_collision_random_movement_mixture_diamond&circle_1_0_non_int_sweep_threading_16_32_250000_time_seed_2541,3,1.742640151021e9,77606.575658,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radius_collision_random_movement_mixture_diamond&circle_1_0_non_int_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.19025047682226,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,6,2025-03-22T10:42:31.021,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,radius_collision,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\radius_collision_random_movement_mixture_diamond&circle_1_0_non_int_higher_radi_sweep_threading_16_32_250000_time_seed_2774,3,1.742819186676e9,76410.0329234,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,radius_collision_random_movement_mixture_diamond&circle_1_0_non_int_higher_radi_sweep_threading_16_32,"(1000, 1000)",1.0,6.999999999999999e-11,1.0e-5,65.19448723550886,2.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,12,2025-03-24T12:26:26.676,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,noise_strength,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\noise_strength_mixture_diamond&circle_1_0_non_int_threading_16_32_250000_time_seed_7844,3,1.742913689311e9,75842.7397626,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,noise_strength_mixture_diamond&circle_1_0_non_int_threading_16_32,"(1000, 1000)",0.2,6.999999999999999e-11,1.0e-5,65.18547612335533,0.2,15.0,1,1.1570000000000001e-5,0.003,16,Normal,16,2025-03-25T14:41:29.296,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,noise_strength,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\noise_strength_mixture_diamond&circle_1_0_non_int_threading_radius_21_16_32_250000_time_seed_9851,3,1.74299602861e9,76175.261192,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,noise_strength_mixture_diamond&circle_1_0_non_int_threading_radius_21_16_32,"(1000, 1000)",0.1,6.999999999999999e-11,1.0e-5,65.18781262543052,0.0,15.0,1,1.1570000000000001e-5,0.003,16,Normal,21,2025-03-26T13:33:48.593,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,noise_strength,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\noise_strength_mixture_diamond&circle_1_0_non_int_threading_radius_16_corrected_timestepping_16_32_250000_time_seed_4733,3,1.743082223624e9,77488.2151233,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,noise_strength_mixture_diamond&circle_1_0_non_int_threading_radius_16_corrected_timestepping_16_32,"(1000, 1000)",0.1,6.999999999999999e-11,1.0e-5,65.16933345701545,0.0,15.0,1,1.1570000000000001e-5,0.003,16,Normal,16,2025-03-27T13:30:23.608,4.9999999999999996e-6,0.001,8000,36000.0,,
15,4,250000,Normal,1.5,adsorption_rate,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\adsorption_rate_mixture_diamond&circle_1_0_250000_time_seed_7835,3,1.743170685712e9,72848.2887617,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,adsorption_rate_mixture_diamond&circle_1_0,"(1000, 1000)",1.0e-7,6.999999999999999e-11,1.0e-6,65.04091355577111,0.3,15.0,1,1.1570000000000001e-5,0.003,16,Normal,16,2025-03-28T14:04:45.695,4.9999999999999996e-6,0.0001,8000,36000.0,,
15,4,250000,Normal,1.5,decay_rate,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\decay_mixture_diamond&circle_radius_16_16_32_250000_time_seed_4177,3,1.743501129234e9,66949.8808975,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,decay_mixture_diamond&circle_radius_16_16_32,"(1000, 1000)",0.0001,6.999999999999999e-11,1.0e-5,64.91884691081941,0.0,15.0,1,,0.003,16,Normal,16,2025-04-01T09:52:09.224,4.9999999999999996e-6,0.0001,8000,36000.0,72000,
15,4,250000,Normal,1.5,decay_rate,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\decay_mixture_diamond&circle_radius_right_noise_16_16_32_250000_time_seed_7874,3,1.743608131626e9,80255.1752581,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,decay_mixture_diamond&circle_radius_right_noise_16_16_32,"(1000, 1000)",0.0001,6.999999999999999e-11,1.0e-5,65.11364562250674,0.3,6.666666666666667,1,1.166921253870079e-5,0.003,16,Normal,16,2025-04-02T15:35:31.599,4.9999999999999996e-6,0.0001,8000,36000.0,,
15,4,250000,Normal,1.5,decay_rate,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\decay_mixture_diamond&circle_gradient_grid_small_16_16_32_250000_time_seed_9210,3,1.743702189245e9,82976.734896,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,decay_mixture_diamond&circle_gradient_grid_small_16_16_32,"(1000, 1000)",0.0001,6.999999999999999e-11,1.0e-5,65.0849398765713,0.3,6.666666666666667,1,1.166921253870079e-5,0.003,16,Normal,16,2025-04-03T17:43:09.245,4.9999999999999996e-6,0.0001,8000,36000.0,,
15,4,250000,Normal,1.5,decay_rate,1200,"(0.015, 0.015)",C:\Users\Andreas\Desktop\simulation_data_julia_knecht\decay_mixture_diamond&circle_gradient_grid_small_bigger_decay_16_16_32_250000_time_seed_8347,3,1.743784303445e9,75953.3391005,C:\Users\Andreas\Desktop\simulation_data_julia_knecht\,decay_mixture_diamond&circle_gradient_grid_small_bigger_decay_16_16_32,"(1000, 1000)",0.001,6.999999999999999e-11,1.0e-5,65.18782181292772,0.3,6.666666666666667,1,1.166921253870079e-5,0.003,16,Normal,16,2025-04-04T16:31:43.445,4.9999999999999996e-6,0.001,8000,36000.0,,
